Central African Republic,570,573,574,584,593,599,613,622,636,649,655,655,649,639,632,633,644,650,655,666,683,701,722,755,772,777,767,745,716,695,677,679
Chad,1822,1800,1804,1837,1870,1916,2008,2125,2258,2383,2498,2576,2672,2746,2785,2799,2863,2950,3027,3115,3202,3365,3626,3934,4189,4399,4404,4324,4152,4007,3760,3981
Chile,4087,4161,4320,4586,4759,5051,5313,5508,5870,6147,5934,6025,5957,6080,6186,6123,6049,6070,5782,5864,6073,6131,6434,6763,6948,7071,7009,6966,6888,6977,6580,6655
China,449467,466662,486254,507276,529632,553090,576980,605219,641351,683445,742704,798921,854164,931213,1008664,1051682,1044827,1086746,1165250,1257667,1348185,1440916,1531867,1645893,1729535,1775376,1804558,1788410,1760705,1747205,1726278,1857360
Colombia,10348,11006,11339,11585,11878,12170,12652,12355,12256,12663,12747,12781,12470,12480,12354,12147,12397,12129,12315,12693,12742,12435,12540,12666,12706,13048,13100,12548,12486,12115,12222,12763
Comoros,38,38,37,37,37,37,38,39,40,41,41,41,41,40,40,40,39,40,39,38,37,38,38,39,42,42,42,41,40,40,45,40
Congo,571,577,588,604,633,652,674,694,695,709,716,713,729,765,795,823,849,884,917,950,990,1055,1157,1271,1367,1421,1439,1461,1489,1521,1535,1549
Cook Islands,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4
Costa Rica,667,694,725,743,801,856,858,896,929,987,981,1009,971,987,997,937,971,867,872,861,970,949,981,1022,1064,1109,1140,1064,997,938,964,930
Cote d'Ivoire,4128,3919,3804,3788,3853,3994,4203,4519,4901,5244,5457,5485,5468,5395,5336,5286,5255,5128,4984,4892,4865,5154,5928,6890,7663,8130,7957,7597,7227,6994,7674,6697
Croatia,6078,6082,5851,5784,5772,5787,5688,5648,5486,5376,5192,5179,5392,5735,5645,5820,5657,5614,5541,5266,5132,4979,4881,4670,4699,4850,4386,4225,3900,3691,3767,3724
Cuba,6417,6333,6499,6664,6683,6679,6759,6769,6883,6978,6808,6842,6406,6568,6733,6936,6575,6650,6871,6970,7125,6939,7397,7889,8385,8909,8904,9211,9148,9327,9694,9168
Cyprus,578,605,631,643,634,651,659,685,700,682,667,650,640,625,589,578,583,572,567,574,589,584,570,554,539,532,511,516,513,511,438,502
Czechia,17137,16281,15703,15019,14688,14573,13556,13079,12040,11557,11356,11313,11441,11969,11709,11839,11408,11336,11271,11130,10941,10840,10573,10271,9638,9452,8849,8283,7742,7376,7465,7212
Democratic Republic of Congo,5049,5047,5015,4975,4983,5007,5053,4955,4946,4931,4993,5042,5065,5186,5205,5226,5269,5278,5326,5351,5379,5529,5775,6034,6275,6389,6395,6335,6326,6332,6468,6337
Denmark,5590,5428,5370,5296,4989,4852,4626,4391,4157,4090,3883,3835,3730,3535,3291,3093,2983,2905,2799,2724,2572,2372,2168,1974,1779,1679,1643,1620,1620,1555,1379,1532
Djibouti,109,117,123,128,128,134,141,153,172,189,203,212,222,231,246,255,264,275,285,296,310,323,336,350,359,372,381,391,394,401,378,408
Dominica,29,30,31,32,32,33,33,34,34,34,34,33,32,32,32,31,31,31,32,32,34,35,37,39,40,41,41,41,41,41,43,41
Dominican Republic,1274,1293,1318,1377,1424,1515,1670,1870,2068,2267,2391,2484,2597,2831,3077,3193,3322,3379,3383,3405,3440,3549,3881,4273,4428,4568,4674,4762,4850,4860,5261,5019
East Timor,111,112,114,115,116,116,117,117,119,122,124,126,128,133,135,143,159,187,219,254,274,291,302,312,319,327,335,341,348,353,345,362
Ecuador,4194,4511,4573,4622,4706,4690,4829,4705,4906,5119,5178,5493,5913,6050,6370,6704,6587,6071,5405,4660,4435,4362,4515,4673,4832,4906,5135,5238,5294,5179,4523,4803
Egypt,57525,59032,59812,62552,64759,64995,65455,67211,68628,69830,69191,74493,78697,82952,84446,85890,89879,93006,98233,104011,107312,108078,110898,110115,112096,115593,112105,109426,112419,114098,106481,115654
El Salvador,1019,1047,1121,1207,1280,1288,1335,1431,1564,1526,1545,1532,1485,1540,1613,1644,1682,1679,1664,1789,1735,1835,1863,2082,2309,2537,2379,2289,2120,2152,2360,2112
Equatorial Guinea,104,103,101,102,103,104,119,145,184,223,255,276,305,341,369,383,387,386,391,396,403,424,442,458,477,507,522,516,511,520,558,525
Eritrea,624,612,575,561,572,600,633,681,733,776,798,796,799,804,824,831,831,828,834,836,845,854,868,890,898,913,917,917,907,892,798,896
Estonia,1378,1400,1371,1427,1468,1352,1180,1138,1156,1066,1019,998,908,828,747,691,660,632,568,524,478,444,395,334,293,261,260,238,233,214,163,214
Eswatini,176,188,200,211,225,240,256,270,288,308,333,353,367,375,382,385,387,399,411,422,424,419,421,423,422,420,424,431,434,435,377,398
Ethiopia,6606,6305,6112,5943,5838,5821,5904,6147,6431,6664,6741,6666,6527,6377,6239,6173,6133,6174,6246,6296,6333,6460,6612,6776,6987,7100,7205,7363,7479,7576,7249,7496
Fiji,121,125,130,138,145,153,168,187,201,232,251,251,250,260,256,265,275,285,297,303,314,324,333,344,356,369,387,414,438,454,447,459
Finland,1849,1797,1783,1749,1643,1611,1550,1495,1437,1396,1355,1299,1271,1213,1134,1067,1028,1006,969,938,902,829,738,634,547,498,483,470,456,433,313,436
France,31211,30639,30147,30067,29353,29415,29388,28662,28374,27901,26997,26300,26004,25518,23836,23463,22690,22291,22111,21795,20977,20305,19758,18521,17228,16977,16239,15536,14759,14090,13348,13394
Gabon,695,690,690,693,707,723,737,746,763,778,796,803,797,805,806,798,802,803,810,807,797,814,839,874,904,931,929,917,909,905,952,887
Gambia,293,300,309,312,317,335,335,342,354,368,365,361,360,363,377,384,386,392,390,396,396,391,414,445,485,492,501,505,488,491,505,471
Georgia,4739,4566,4385,3890,3521,3279,3211,2903,2601,2370,2244,2191,2174,2146,2164,2042,2087,2349,3034,3238,3430,3386,3559,3743,3911,3948,3868,3641,3477,3330,3365,3141
Germany,94298,91795,88192,86850,84357,81996,79356,75797,72429,69553,65833,63364,62197,60365,56412,54498,53200,52744,52405,52261,50686,48766,46891,44802,40917,39286,37331,34638,32459,29773,28222,29057
Ghana,4388,4218,4128,4070,4089,4154,4366,4795,5213,5646,5936,6015,5973,5889,5807,5878,6075,6273,6441,6672,6937,7624,8778,10093,11249,12018,12028,11825,11483,11326,12124,11037
Greece,10782,10957,11090,11042,11163,11368,11473,11565,11880,12031,11986,11795,11673,11569,11217,10832,10683,11109,10388,10503,10414,10356,10172,9432,8671,8383,8079,7921,7596,7459,7269,7546
Greenland,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,6,5
Grenada,52,54,58,60,60,60,58,60,62,61,62,62,63,64,64,64,62,60,61,61,61,58,58,61,63,63,65,65,65,67,69,65
Guam,17,18,18,18,18,18,18,20,21,22,23,23,23,22,22,21,21,20,20,21,21,23,27,35,43,45,45,46,47,45,36,39
Guatemala,2850,3081,3285,3386,3417,3182,3129,3362,3502,3437,3501,3396,3202,3135,3057,2991,2975,2861,2851,2926,3028,3153,3261,3567,3747,3985,4029,3873,3800,3865,3703,3443
Guinea,2464,2413,2393,2380,2393,2421,2467,2514,2553,2597,2617,2585,2541,2502,2503,2486,2503,2503,2502,2486,2513,2582,2734,2929,3104,3201,3127,2942,2771,2661,2637,2474
Guinea-Bissau,389,385,382,380,380,380,384,386,389,395,400,398,389,377,368,361,359,368,368,367,367,372,382,401,418,424,420,406,391,384,386,367
Guyana,304,288,281,295,297,307,320,341,354,344,342,361,371,373,372,367,362,371,380,387,400,410,429,442,463,478,488,500,515,517,500,485
Haiti,1046,994,969,953,937,938,941,972,986,1030,1049,1063,1066,1076,1085,1097,1105,1114,1123,1134,1133,1172,1231,1309,1383,1437,1462,1476,1497,1522,1552,1508
Honduras,695,709,752,770,794,871,944,981,1017,1055,1085,1112,1132,1157,1187,1211,1233,1249,1292,1352,1438,1596,1815,1932,2035,2108,2104,2036,1947,1924,2165,1925
Hungary,15465,15402,15874,15924,15467,15298,14519,13919,13628,13321,12435,12160,12506,12996,13249,13876,13411,13361,12775,12698,12377,12025,11767,11235,11001,10950,10164,9874,9301,8657,8243,8149
Iceland,47,47,46,45,45,45,45,44,44,43,41,40,40,39,39,37,37,36,35,33,32,30,28,26,24,23,22,22,21,19,15,19
India,227945,233081,241145,246469,255630,266887,274530,284750,297397,299282,308080,322691,337049,356761,371921,382984,397458,417946,430179,432330,448094,500176,586527,700234,803316,844274,864230,888179,922327,939156,837472,947584
Indonesia,38884,41542,44273,46896,49110,50928,52799,55098,57468,59831,61871,63509,65054,66376,67573,69061,70674,72661,74598,76861,79132,81392,85182,89379,93897,99299,104968,111784,118664,123750,119378,129281
Iran,29168,29302,29667,29947,30207,30573,31127,31960,32965,34055,35085,36072,36829,37395,37799,38381,39522,40879,42342,43907,44926,45527,46489,48326,49809,51703,52238,52201,51466,51640,47970,49495
Iraq,15496,14895,14490,14296,14176,14438,14820,15241,15605,15948,16295,16596,16977,17644,18062,18590,19313,20442,21657,22651,23141,23222,23373,23586,23921,24387,24433,24349,24986,26450,28899,28831
